Job ID,State,Count
cyt9g2078z600082jez0
00111,3039
11011,342
01110,737
10111,703
10010,163
10011,1582
11101,394
10100,130
11110,220
11100,65
11010,527
10110,75
10101,184
00110,156
01101,144
11000,38
01111,332
11111,196
00011,214
00001,75
00100,53
01001,92
01011,56
10001,70
01000,21
01100,26
00101,159
00010,33
11001,34
01010,44
00000,64
10000,32
Job ID,State,Count
cyt9g2078z600082jez0
11011,360
01111,272
00101,109
10111,625
11101,367
01001,72
10011,1435
11001,42
00001,76
11010,757
11111,158
00111,2869
00011,157
10101,115
01011,37
01101,119
00000,66
11110,281
10010,233
10001,43
10100,140
01110,1037
00110,180
01100,48
01010,78
10110,84
11100,67
00100,63
10000,30
00010,21
01000,34
11000,25
Job ID,State,Count
cyt9g2078z600082jez0
00111,3386
01111,330
10011,1611
11101,344
10111,691
01001,61
10110,69
11011,320
01110,686
00101,125
11001,46
11111,129
11010,604
00110,176
00011,200
10010,180
00100,40
01011,43
10101,135
01101,133
00000,59
00001,74
11100,64
11110,187
11000,30
10100,102
01010,39
00010,12
10001,68
01100,18
01000,20
10000,18
Job ID,State,Count
cyt9vgp78z600082jjkg
00111,3297
01011,30
11101,383
01111,332
00101,91
10011,1649
11010,734
00000,82
00110,128
11001,36
10100,124
11011,325
01110,868
00011,191
00010,16
11100,48
00100,38
01100,29
10101,153
11110,162
11111,83
10010,197
10000,21
11000,27
01000,28
01010,62
00001,90
10111,505
10001,49
01101,99
01001,80
10110,43
